%gen_inp
ftj	꿁
ftn	꿂
ftr	꿃
ftp	꿄
ftt	꿅
fti	꿆
fwt	꿇
fto	꿈
fta	꿉
fth	꿊
ftb	꿋
ftm	꿌
ftq	꿍
ftu	꿎
ftd	꿏
ftz	꿐
fte	꿑
ftx	꿒
ftw	꿓
fa	꿔
fay	꿕
faf	꿖
fav	꿗
fal	꿘
fak	꿙
fag	꿚
fac	꿛
fas	꿜
faj	꿝
fan	꿞
far	꿟
fap	꿠
fat	꿡
fai	꿢
fwa	꿣
fao	꿤
faa	꿥
fah	꿦
fab	꿧
fam	꿨
faq	꿩
fau	꿪
fad	꿫
faz	꿬
fae	꿭
fax	꿮
faw	꿯
fz	꿰
fzy	꿱
fzf	꿲
fzv	꿳
fzl	꿴
fzk	꿵
fzg	꿶
fzc	꿷
fzs	꿸
fzj	꿹
fzn	꿺
fzr	꿻
fzp	꿼
fzt	꿽
fzi	꿾
fwz	꿿
fzo	뀀
fza	뀁
fzh	뀂
fzb	뀃
fzm	뀄
fzq	뀅
fzu	뀆
fzd	뀇
fzz	뀈
fze	뀉
fzx	뀊
fzw	뀋
fd	뀌
fdy	뀍
fdf	뀎
fdv	뀏
fdl	뀐
fdk	뀑
fdg	뀒
fdc	뀓
fds	뀔
fdj	뀕
fdn	뀖
fdr	뀗
fdp	뀘
fdt	뀙
fdi	뀚
fwd	뀛
fdo	뀜
fda	뀝
fdh	뀞
fdb	뀟
fdm	뀠
fdq	뀡
fdu	뀢
fdd	뀣
fdz	뀤
fde	뀥
fdx	뀦
fdw	뀧
fr	뀨
fry	뀩
frf	뀪
frv	뀫
frl	뀬
frk	뀭
frg	뀮
frc	뀯
frs	뀰
frj	뀱
frn	뀲
frr	뀳
frp	뀴
frt	뀵
fri	뀶
fwr	뀷
fro	뀸
fra	뀹
frh	뀺
frb	뀻
frm	뀼
frq	뀽
fru	뀾
frd	뀿
frz	끀
fre	끁
frx	끂
frw	끃
fv	끄
fvy	끅
fvf	끆
fvv	끇
fvl	끈
fvk	끉
fvg	끊
fvc	끋
fvs	끌
fvj	끍
fvn	끎
fvr	끏
fvp	끐
fvt	끑
fvi	끒
fwv	끓
fvo	끔
fva	끕
fvh	끖
fvb	끗
fvm	끘
fvq	끙
fvu	끚
fvd	끛
fvz	끜
fve	끝
fvx	끞
fvw	끟
fl	끠
fly	끡
flf	끢
flv	끣
fll	끤
flk	끥
flg	끦
flc	끧
fls	끨
flj	끩
fln	끪
flr	끫
flp	끬
flt	끭
fli	끮
fwl	끯
flo	끰
fla	끱
flh	끲
flb	끳
flm	끴
flq	끵
flu	끶
fld	끷
flz	끸
fle	끹
flx	끺
flw	끻
fi	끼
fiy	끽
fif	끾
fiv	끿
fil	낀
fik	낁
fig	낂
fic	낃
fis	낄
fij	낅
fin	낆
fir	낇
fip	낈
fit	낉
fii	낊
fwi	낋
fio	낌
fia	낍
fih	낎
fib	낏
fim	낐
fiq	낑
fiu	낒
fid	낓
fiz	낔
fie	낕
fix	낖
fiw	낗
#s3
lkf	낚
lkv	낛
lkk	낝
lkg	낞
lkj	낡
lkn	낢
lkr	낣
lkp	낤
lkt	낥
lki	낦
lwk	낧
lkh	낪
lkm	났
lhf	낶
lhv	낷
lhk	낹
lhg	낺
lhj	낽
lhn	낾
lhr	낿
lhp	냀
lht	냁
lhi	냂
lwh	냃
lhh	냆
lhm	냈
lff	냒
lfv	냓
lfk	냕
lfg	냖
lfj	냙
lfn	냚
lfr	냛
lfp	냜
lft	냝
lfi	냞
lwf	냟
lfh	냢
lfm	냤
